Date,Open,High,Low,Close,Adj Close,Volume
2020-10-26,10998.790039,11197.131836,10850.927734,11072.263672,11072.263672,24948286975
2020-10-27,11072.258789,11680.981445,11059.917969,11589.126953,11589.126953,28645479083
2020-10-28,11589.124023,11747.317383,11027.510742,11295.668945,11295.668945,30527966334
2020-10-29,11295.680664,11680.389648,11082.621094,11506.926758,11506.926758,48380804003
2020-10-30,11506.917969,11721.341797,11254.017578,11602.596680,11602.596680,26193042074
2020-10-31,11602.605469,12013.033203,11524.329102,11801.327148,11801.327148,25952880448
2020-11-01,11801.327148,11870.724609,11670.634766,11799.999023,11799.999023,21005546036
2020-11-02,11799.931641,11864.221680,11373.821289,11640.819336,11640.819336,26434834248
2020-11-03,11640.786133,11894.548828,11439.025391,11860.727539,11860.727539,25395821174
2020-11-04,11860.885742,12135.489258,11646.151367,12045.607422,12045.607422,29928308318
2020-11-05,12045.629883,13285.183594,12017.630859,13184.150391,13184.150391,34573885747
2020-11-06,13184.049805,13478.116211,12818.151367,13109.102539,13109.102539,33550195535
2020-11-07,13109.102539,13253.010742,12146.514648,12492.260742,12492.260742,29496299788
2020-11-08,12492.260742,13168.985352,12416.766602,13016.102539,13016.102539,22393766712
2020-11-09,13016.125977,13296.104492,12587.059570,12967.122070,12967.122070,28881204700
2020-11-10,12967.151367,13050.800781,12797.622070,12938.198242,12938.198242,21639901435
2020-11-11,12938.204102,13515.277344,12935.483398,13329.259766,13329.259766,25274513390
2020-11-12,13329.225586,13812.294922,13192.206055,13789.074219,13789.074219,28953189832
2020-11-13,13789.156250,13946.995117,13527.681641,13786.818359,13786.818359,26698221339
2020-11-14,13786.818359,13786.818359,13306.398438,13575.874023,13575.874023,23219132003
2020-11-15,13575.875000,13622.787109,13339.960938,13469.739258,13469.739258,19968642321
2020-11-16,13469.730469,14190.856445,13412.812500,14095.125000,14095.125000,26583558821
2020-11-17,14069.474609,14987.178711,13968.500000,14873.701172,14873.701172,32879731315
2020-11-18,14873.519531,15496.166016,14623.433594,15030.301758,15030.301758,41420945977
2020-11-19,15030.180664,15315.511719,14693.525391,15015.780273,15015.780273,31170043042
2020-11-20,15015.774414,15827.933594,14960.790039,15705.179688,15705.179688,31199715895
2020-11-21,15705.180664,15971.316406,15556.138672,15723.027344,15723.027344,33441344562
2020-11-22,15723.027344,15762.444336,14904.205078,15481.650391,15481.650391,34789828991
2020-11-23,15481.663086,15743.476563,15161.260742,15506.958008,15506.958008,36091279090
2020-11-24,15507.711914,16289.386719,15296.525391,16059.728516,16059.728516,43259912041
2020-11-25,16057.161133,16295.062500,15591.440430,15719.415039,15719.415039,36680376885
2020-11-26,15717.501953,15819.380859,13723.832031,14399.097656,14399.097656,51546757189
2020-11-27,14401.859375,14641.574219,13834.203125,14301.101563,14301.101563,32505648625
2020-11-28,14304.889648,14923.357422,14134.904297,14809.243164,14809.243164,27249840705
2020-11-29,14811.098633,15285.899414,14676.928711,15184.596680,15184.596680,26007813836
2020-11-30,15185.297852,16459.787109,15185.297852,16440.384766,16440.384766,39981718474
2020-12-01,16447.033203,16590.441406,15309.742188,15576.629883,15576.629883,41117118481
2020-12-02,15575.589844,16020.179688,15189.176758,15850.040039,15850.040039,30862646683
2020-12-03,15854.030273,16097.243164,15613.412109,16010.777344,16010.777344,26290497372
2020-12-04,16012.068359,16057.574219,15422.846680,15428.222656,15428.222656,27946379894
2020-12-05,15427.083984,15804.975586,15334.585938,15799.846680,15799.846680,22471620120
2020-12-06,15799.804688,15990.453125,15588.400391,15961.175781,15961.175781,20869261997
2020-12-07,15959.532227,16014.427734,15618.173828,15847.105469,15847.105469,22209129479
2020-12-08,15847.021484,15910.952148,15088.910156,15129.400391,15129.400391,26171143440
2020-12-09,15129.185547,15423.576172,14784.541016,15361.175781,15361.175781,28497349693
2020-12-10,15360.666016,15360.666016,14796.406250,15040.947266,15040.947266,21037680214
2020-12-11,15040.072266,15040.599609,14539.374023,14910.423828,14910.423828,23051991178
2020-12-12,14904.163086,15621.022461,14899.803711,15525.333008,15525.333008,17960127102
2020-12-13,15527.900391,16002.461914,15468.095703,15776.826172,15776.826172,20975843592
2020-12-14,15778.565430,15894.603516,15687.139648,15842.547852,15842.547852,18499089133
2020-12-15,15842.775391,16064.141602,15704.236328,15975.224609,15975.224609,22001725458
2020-12-16,15976.658203,17598.408203,15883.248047,17473.498047,17473.498047,36412902508
2020-12-17,17471.654297,19279.242188,17411.839844,18598.726563,18598.726563,58212751049
2020-12-18,18600.060547,18956.980469,18302.796875,18877.660156,18877.660156,32951434485
2020-12-19,18873.503906,19649.890625,18622.453125,19473.654297,19473.654297,31399179663
2020-12-20,19125.544922,19408.382813,18902.910156,19164.044922,19164.044922,34645360640
